Area,Province,行政区域面积,乡,镇,街道办事处,户籍人口,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,地方一般公共预算收入,地方一般公共预算支出,住户储蓄存款余额,年末金融机构各项贷款余额,设施农业种植占地面积,油料产量,棉花产量,规模以上工业企业,固定电话用户,普通中学在校学生,小学在校学生,医疗卫生机构床位,提供住宿的社会工作机构,提供住宿的社会工作机构床位
Unit,省份,平方公里,个,个,个,人,万元,万元,万元,万元,万元,万元,万元,万元,公顷,吨,吨,个,户,人,人,床,个,床
Remark,
梁河县,云南省,1137,6,3,,172959,404376,103698,94414,206264,18450,181307,422630,285670,81,397,,8,4563,7244,11937,759,1,122,,
盈江县,云南省,4317,7,8,,315432,1180330,369439,365527,445364,57572,319487,724335,865310,208,1601,,51,10241,18291,30849,1641,1,660,,
陇川县,云南省,1873,5,4,,196068,728340,237346,147168,343826,35177,234393,445519,516759,960,3682,,30,8631,11049,18594,1157,6,568,,
泸水市,云南省,3088,3,6,,188165,791583,110478,257834,423271,43382,494803,502453,1122899,,136,,14,7570,13057,18599,1608,3,321,,
福贡县,云南省,2745,6,1,,120210,241583,44021,64605,132957,12100,348834,156837,181011,,349,,3,2766,4286,12727,396,2,98,,
贡山独龙族怒族自治县,云南省,4379,3,2,,34838,188113,34930,52155,101028,11378,181943,74605,130702,2,194,,2,5482,1385,2944,290,2,172,,
兰坪白族普米族自治县,云南省,4372,4,4,,217862,886005,116917,365462,403626,54781,448090,425805,713875,,450,,2,5489,12920,19404,1018,4,340,,
香格里拉市,云南省,11419,8,4,,152263,1615364,71898,669624,873842,76207,481855,915908,2333903,72,2554,,19,19247,4585,12544,1005,3,134,,
德钦县,云南省、西藏自治区,7291,6,2,,61104,418934,25856,163872,229206,11535,301385,169155,249796,19,,,1,1885,1579,3470,233,4,206,,
维西傈僳族自治县,云南省、西藏自治区,4477,7,3,,157705,635107,87706,193203,354198,19287,415582,393075,565774,64,1957,,4,3489,5172,11919,493,5,445,,
堆龙德庆区,云南省、西藏自治区,2718,,3,4,45848,1180500,27100,624100,529300,247647,309442,206133,284602,102,803,,13,26677,2188,6456,278,1,227,,
达孜区,云南省、西藏自治区,1361,5,1,,32221,190200,25000,95400,69800,36732,163664,98818,73879,624,281,,10,5866,1028,2626,236,1,152,,
