序号,学校名称,预算总收入,高校类型,主管部门,所在省市
Unit,亿元
Remark,
38,西安电子科技大学,60.56 ,双一流,教育部,陕西省
39,南开大学,60.52 ,双一流,教育部,天津市
40,北京交通大学,57.79 ,双一流,教育部,北京市
41,深圳大学（本部）,56.39 ,,广东省,广东省
42,兰州大学,55.17 ,双一流,教育部,甘肃省
43,中国海洋大学,55.08 ,双一流,教育部,山东省
44,哈尔滨工程大学,54.88 ,双一流,工业和信息化部,黑龙江省
45,北京科技大学,54.79 ,双一流,教育部,北京市
46,西南交通大学,54.46 ,双一流,教育部,四川省
47,西南大学,51.32 ,双一流,教育部,重庆市
48,河海大学,50.49 ,双一流,教育部,江苏省
49,广州大学,49.33 ,,广东省,广东省
50,中国石油大学（华东）,48.85 ,双一流,教育部,山东省
51,中国地质大学（武汉）,46.41 ,双一流,教育部,湖北省
52,西北农林科技大学,46.40 ,双一流,教育部,陕西省
53,中国科学院大学,45.30 ,双一流,中国科学院,北京市
54,北京邮电大学,45.13 ,双一流,教育部,北京市
55,江南大学,44.86 ,双一流,教育部,江苏省
56,中国石油大学（北京）,44.86 ,双一流,教育部,北京市
57,中国矿业大学,43.62 ,双一流,教育部,江苏省
58,华东理工大学,42.81 ,双一流,教育部,上海市
59,华中农业大学,42.29 ,双一流,教育部,湖北省
60,华北电力大学,41.97 ,双一流,教育部,北京市
61,长安大学,41.37 ,双一流,教育部,陕西省
62,合肥工业大学,39.55 ,双一流,教育部,安徽省
63,浙江工业大学,39.00 ,,浙江省,浙江省
64,中央民族大学,38.15 ,双一流,国家民委,北京市
65,苏州大学,38.10 ,双一流,江苏省,江苏省
66,南方科技大学,37.56 ,双一流,广东省,广东省
67,陕西师范大学,37.36 ,双一流,教育部,陕西省
68,云南大学,35.94 ,双一流,云南省,云南省
69,上海大学,35.42 ,双一流,上海市,上海市
70,齐鲁工业大学,35.24 ,,山东省,山东省
71,华中师范大学,34.94 ,双一流,教育部,湖北省
72,宁波大学,34.04 ,双一流,浙江省,浙江省
73,南京农业大学,33.61 ,双一流,教育部,江苏省
74,南昌大学,33.38 ,双一流,江西省,江西省
75,东华大学,33.34 ,双一流,教育部,上海市
76,海南大学（本级）,33.16 ,双一流,海南省,海南省
77,北京中医药大学,32.61 ,双一流,教育部,北京市
78,北京化工大学,32.30 ,双一流,教育部,北京市
79,广西大学,31.82 ,双一流,广西壮族自治区,广西壮族自治区
80,北京工业大学,31.48 ,双一流,北京市,北京市
81,郑州大学,31.23 ,双一流,河南省,河南省
82,大连海事大学,30.96 ,双一流,交通运输部,辽宁省
83,中国人民警察大学,30.93 ,,公安部,河北省
84,华南师范大学,30.89 ,双一流,广东省,广东省
85,广东工业大学,30.78 ,,广东省,广东省
86,扬州大学（本部）,30.49 ,,江苏省,江苏省
87,东北师范大学,29.89 ,双一流,教育部,吉林省
88,中国药科大学,28.46 ,双一流,教育部,江苏省
89,中国地质大学（北京）,27.63 ,双一流,教育部,北京市
90,中国传媒大学,26.73 ,双一流,教育部,北京市
91,浙江师范大学,26.46 ,,浙江省,浙江省
92,中国民航大学,25.91 ,,交通运输部（中国民用航空局）,天津市
93,安徽大学,25.06 ,双一流,安徽省,安徽省
94,杭州师范大学,25.00 ,,浙江省,浙江省
95,华南农业大学,24.74 ,双一流,广东省,广东省
96,北京林业大学,24.66 ,双一流,教育部,北京市
97,河北师范大学,24.33 ,,河北省,河北省
98,山西大学,24.19 ,双一流,山西省,山西省
99,昆明理工大学,22.83 ,,云南省,云南省
100,南京工业大学,22.74 ,,江苏省,江苏省
101,中南财经政法大学,22.69 ,双一流,教育部,湖北省
102,中国矿业大学（北京）,22.69 ,双一流,教育部,北京市
103,青岛大学,22.15 ,,山东省,山东省
104,西南民族大学,22.13 ,,国家民委,四川省
105,首都医科大学,22.03 ,,北京市,北京市
106,中央财经大学,21.99 ,双一流,教育部,北京市
107,河南大学,21.80 ,双一流,河南省,河南省
108,南京师范大学,21.70 ,双一流,江苏省,江苏省
109,西南财经大学,21.12 ,双一流,教育部,四川省
110,江苏大学（本部）,20.99 ,,江苏省,江苏省
111,南通大学,20.91 ,,江苏省,江苏省
112,东北林业大学,20.83 ,双一流,教育部,黑龙江省
113,上海财经大学,20.75 ,双一流,教育部,上海市
114,浙江理工大学,20.39 ,,浙江省,浙江省
115,杭州电子科技大学,20.34 ,,浙江省,浙江省
116,首都师范大学,20.34 ,双一流,北京市,北京市
117,嘉兴学院,20.33 ,,浙江省,浙江省
118,贵州大学,20.19 ,双一流,贵州省,贵州省
119,山东科技大学,20.17 ,,山东省,山东省
120,佛山科学技术学院,20.10 ,,广东省,广东省
121,中国政法大学,19.60 ,双一流,教育部,北京市
122,天津医科大学（本级）,19.58 ,双一流,天津市,天津市
123,南京信息工程大学,19.47 ,双一流,江苏省,江苏省
124,河北工业大学,19.42 ,双一流,河北省,河北省
125,福州大学,19.27 ,双一流,福建省,福建省
126,上海理工大学（本级）,19.09 ,,上海市,上海市
127,对外经济贸易大学,19.08 ,双一流,教育部,北京市
